Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2014-05-22","2,763","15,072","6.96","14","1,120","95","77","74","1,351"
"2014-05-23","2,324","8,306","3.81","9","778","122","63","23","867"
"2014-05-24","2,640","13,103","6.01","50","584","165","77","48","1,280"
"2014-05-25","2,329","7,992","3.66","16","707","187","61","11","932"
"2014-05-26","2,774","12,727","5.84","19","436","264","111","26","1,546"
"2014-05-27","2,767","12,731","5.87","8","747","126","40","81","1,357"
"2014-05-28","2,461","11,453","5.27","14","805","65","94","38","991"
"2014-05-29","3,056","19,463","8.93","3","624","91","100","98","1,695"
"2014-05-30","2,246","5,155","2.36","8","742","195","43","6","832"
"2014-05-31","2,145","3,390","1.55","0","724","204","22","0","709"
"2014-06-01","2,383","5,283","2.42","2","624","273","55","0","1,069"
"2014-06-02","2,229","5,088","2.4","6","686","209","29","5","814"
"2014-06-03","2,563","11,834","5.47","6","685","100","68","51","1,119"
"2014-06-04","2,592","13,188","6.05","18","742","87","90","50","1,158"
"2014-06-05","2,369","7,821","3.62","10","725","114","68","28","915"
"2014-06-06","2,954","18,470","8.47","4","655","83","87","94","1,564"
"2014-06-07","2,315","6,695","3.07","22","736","182","81","0","924"
"2014-06-08","2,378","10,506","4.82","29","660","110","83","23","931"
"2014-06-09","2,265","9,273","4.27","11","738","69","64","27","751"
"2014-06-10","2,790","14,267","6.54","10","651","123","78","68","1,405"
"2014-06-11","2,198","6,831","3.13","17","816","85","45","24","677"
"2014-06-12","2,247","8,676","3.98","3","742","68","54","30","724"
"2014-06-13","2,970","16,158","7.43","3","661","179","67","85","1,659"
"2014-06-14","3,026","17,984","8.25","10","498","233","177","31","1,845"
"2014-06-15","2,437","8,302","3.81","8","641","147","91","14","1,033"
"2014-06-16","2,176","6,897","3.16","9","725","89","56","14","661"
"2014-06-17","2,335","8,349","3.83","13","770","97","59","31","854"
"2014-06-18","2,035","4,085","1.87","1","819","78","37","8","478"
"2014-06-19","2,029","3,712","1.7","5","837","88","37","4","479"
"2014-06-20","2,339","8,992","4.12","13","804","87","76","25","859"
"2014-06-21","2,478","10,485","4.81","12","701","137","99","22","1,081"
"2014-06-22","2,473","9,753","4.47","9","667","116","123","14","1,070"
"2014-06-23","2,194","6,290","2.88","7","771","82","48","22","671"
"2014-06-24","2,866","14,866","6.83","16","650","134","87","73","1,511"
"2014-06-25","2,576","14,100","6.52","111","760","106","101","39","1,164"
"2014-06-26","2,288","8,530","3.93","14","763","91","73","20","803"
"2014-06-27","3,084","20,417","9.4","5","650","86","105","101","1,727"
"2014-06-28","2,363","8,497","3.9","12","639","176","94","1","981"
"2014-06-29","2,414","8,403","3.85","10","692","167","92","8","1,027"
"2014-06-30","2,379","7,182","3.29","10","780","162","52","23","956"
"2014-07-01","3,030","19,928","9.16","17","1,039","100","103","95","1,679"
"2014-07-02","2,350","9,845","4.51","12","749","128","87","10","914"
"2014-07-03","2,773","14,136","6.48","10","693","110","65","76","1,367"

Sleep
Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed
"2014-05-22","0","0","0","0"
"2014-05-23","441","29","13","493"
"2014-05-24","447","25","11","492"
"2014-05-25","531","21","8","558"
"2014-05-26","455","32","10","523"
"2014-05-27","478","11","10","502"
"2014-05-28","391","5","5","416"
"2014-05-29","432","7","6","458"
"2014-05-30","505","20","8","544"
"2014-05-31","528","5","4","540"
"2014-06-01","355","0","0","361"
"2014-06-02","573","24","15","608"
"2014-06-03","440","25","9","471"
"2014-06-04","443","20","9","475"
"2014-06-05","508","24","18","537"
"2014-06-06","413","5","4","458"
"2014-06-07","512","12","10","545"
"2014-06-08","464","37","14","515"
"2014-06-09","504","12","7","524"
"2014-06-10","443","8","6","478"
"2014-06-11","511","13","11","546"
"2014-06-12","472","6","4","480"
"2014-06-13","461","18","5","509"
"2014-06-14","446","18","8","479"
"2014-06-15","507","35","22","565"
"2014-06-16","494","20","10","517"
"2014-06-17","475","9","8","495"
"2014-06-18","472","13","10","492"
"2014-06-19","468","14","9","496"
"2014-06-20","465","23","11","500"
"2014-06-21","403","12","8","430"
"2014-06-22","470","15","9","491"
"2014-06-23","511","18","9","544"
"2014-06-24","445","13","11","473"
"2014-06-25","437","3","2","460"
"2014-06-26","389","28","7","434"
"2014-06-27","489","24","12","529"
"2014-06-28","497","15","8","522"
"2014-06-29","502","15","9","519"
"2014-06-30","476","8","6","490"
"2014-07-01","0","0","0","0"
"2014-07-02","451","17","9","475"
"2014-07-03","444","6","6","489"

